test_id,suite,group,phase,confidence,diagnostic,source_junit,outcome,outcome_index,junit_classname,junit_name,evidence_kind,source_log,log_line,evidence_note
test/python/test_dfb_reconfiguration.py::test_conditional_reconfiguration_executes_with_post_boundary_dfbs[left-dram-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_d5f6be87.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_conditional_reconfiguration_executes_with_post_boundary_dfbs[left-dram-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_conditional_reconfiguration_executes_with_post_boundary_dfbs[left-dram-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_70a75aaf.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_conditional_reconfiguration_executes_with_post_boundary_dfbs[left-dram-f32],junit+exact-pytest-failure-block,pytest.log,79205,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_conditional_reconfiguration_executes_with_post_boundary_dfbs[left-l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_d5f6be87.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_conditional_reconfiguration_executes_with_post_boundary_dfbs[left-l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_conditional_reconfiguration_executes_with_post_boundary_dfbs[left-l1-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_bf586874.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_conditional_reconfiguration_executes_with_post_boundary_dfbs[left-l1-f32],junit+exact-pytest-failure-block,pytest.log,81356,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_conditional_reconfiguration_executes_with_post_boundary_dfbs[right-dram-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_a2f380cf.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_conditional_reconfiguration_executes_with_post_boundary_dfbs[right-dram-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_conditional_reconfiguration_executes_with_post_boundary_dfbs[right-dram-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_c9b3e94d.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_conditional_reconfiguration_executes_with_post_boundary_dfbs[right-dram-f32],junit+exact-pytest-failure-block,pytest.log,83510,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_conditional_reconfiguration_executes_with_post_boundary_dfbs[right-l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_a2f380cf.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_conditional_reconfiguration_executes_with_post_boundary_dfbs[right-l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_conditional_reconfiguration_executes_with_post_boundary_dfbs[right-l1-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_8c97330a.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_conditional_reconfiguration_executes_with_post_boundary_dfbs[right-l1-f32],junit+exact-pytest-failure-block,pytest.log,85667,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_dispatch_condition_reconfiguration_executes_active_and_inactive[dram-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_bdb1876d.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_dispatch_condition_reconfiguration_executes_active_and_inactive[dram-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_dispatch_condition_reconfiguration_executes_active_and_inactive[dram-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_dcddad44.cpp:74:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_dispatch_condition_reconfiguration_executes_active_and_inactive[dram-f32],junit+exact-pytest-failure-block,pytest.log,87815,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_dispatch_condition_reconfiguration_executes_active_and_inactive[l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_bdb1876d.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_dispatch_condition_reconfiguration_executes_active_and_inactive[l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_dispatch_condition_reconfiguration_executes_active_and_inactive[l1-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_read_b6dc92b8.cpp:62:16: error: invalid instruction mnemonic 'lw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_dispatch_condition_reconfiguration_executes_active_and_inactive[l1-f32],junit+exact-pytest-failure-block,pytest.log,89950,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_executes_with_physical_indices_above_31[dram-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_1784deb2.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_executes_with_physical_indices_above_31[dram-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_executes_with_physical_indices_above_31[dram-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_f8168005.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_executes_with_physical_indices_above_31[dram-f32],junit+exact-pytest-failure-block,pytest.log,92087,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_executes_with_physical_indices_above_31[l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_1784deb2.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_executes_with_physical_indices_above_31[l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_executes_with_physical_indices_above_31[l1-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_1470079e.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_executes_with_physical_indices_above_31[l1-f32],junit+exact-pytest-failure-block,pytest.log,94226,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_switches_tensor_backed_storage_and_cached_execution[dram-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_82e54cae.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_switches_tensor_backed_storage_and_cached_execution[dram-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_switches_tensor_backed_storage_and_cached_execution[dram-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_cee80e2f.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_switches_tensor_backed_storage_and_cached_execution[dram-f32],junit+exact-pytest-failure-block,pytest.log,96370,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_switches_tensor_backed_storage_and_cached_execution[l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_82e54cae.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_switches_tensor_backed_storage_and_cached_execution[l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration.py::test_reconfiguration_switches_tensor_backed_storage_and_cached_execution[l1-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_88b09212.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_switches_tensor_backed_storage_and_cached_execution[l1-f32],junit+exact-pytest-failure-block,pytest.log,98521,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration.py::test_reconfiguration_enables_later_tensor_backed_core,pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_3fc8bb8f.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration,test_reconfiguration_enables_later_tensor_backed_core,junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration_discard.py::test_repeated_reconfiguration_discards_opaque_state_before_reuse[dram-bf16],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_read_cf8f30b2.cpp:57:16: error: invalid instruction mnemonic 'lw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration_discard,test_repeated_reconfiguration_discards_opaque_state_before_reuse[dram-bf16],junit+exact-pytest-failure-block,pytest.log,100648,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration_discard.py::test_repeated_reconfiguration_discards_opaque_state_before_reuse[dram-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_52d59046.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration_discard,test_repeated_reconfiguration_discards_opaque_state_before_reuse[dram-f32],junit+exact-pytest-failure-block,pytest.log,101874,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration_discard.py::test_repeated_reconfiguration_discards_opaque_state_before_reuse[l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_db76f5f3.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration_discard,test_repeated_reconfiguration_discards_opaque_state_before_reuse[l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration_discard.py::test_repeated_reconfiguration_discards_opaque_state_before_reuse[l1-f32],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_db76f5f3.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration_discard,test_repeated_reconfiguration_discards_opaque_state_before_reuse[l1-f32],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration_discard.py::test_reconfiguration_discards_wait_state_before_reuse[dram-bf16],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_7540733f.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration_discard,test_reconfiguration_discards_wait_state_before_reuse[dram-bf16],junit+exact-pytest-failure-block,pytest.log,105111,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration_discard.py::test_reconfiguration_discards_wait_state_before_reuse[dram-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_5483c55d.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration_discard,test_reconfiguration_discards_wait_state_before_reuse[dram-f32],junit+exact-pytest-failure-block,pytest.log,106322,Exact parametrized heading and traceback source/function match JUnit
test/python/test_dfb_reconfiguration_discard.py::test_reconfiguration_discards_wait_state_before_reuse[l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_e96fe2d7.cpp,pytest-report.xml,failure,1,python.test_dfb_reconfiguration_discard,test_reconfiguration_discards_wait_state_before_reuse[l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_dfb_reconfiguration_discard.py::test_reconfiguration_discards_wait_state_before_reuse[l1-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_599da864.cpp:73:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_dfb_reconfiguration_discard,test_reconfiguration_discards_wait_state_before_reuse[l1-f32],junit+exact-pytest-failure-block,pytest.log,108432,Exact parametrized heading and traceback source/function match JUnit
test/python/test_external_descriptor_reset.py::test_external_descriptor_survives_specialization_and_synchronized_reset[dram-bf16],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_compute_c1_0_6d5ebac3.cpp:66:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_external_descriptor_reset,test_external_descriptor_survives_specialization_and_synchronized_reset[dram-bf16],junit+exact-pytest-failure-block,pytest.log,109465,Exact parametrized heading and traceback source/function match JUnit
test/python/test_external_descriptor_reset.py::test_external_descriptor_survives_specialization_and_synchronized_reset[dram-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_compute_c1_0_6d5ebac3.cpp:66:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_external_descriptor_reset,test_external_descriptor_survives_specialization_and_synchronized_reset[dram-f32],junit+exact-pytest-failure-block,pytest.log,110643,Exact parametrized heading and traceback source/function match JUnit
test/python/test_external_descriptor_reset.py::test_external_descriptor_survives_specialization_and_synchronized_reset[l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_c1_0_6d5ebac3.cpp,pytest-report.xml,failure,1,python.test_external_descriptor_reset,test_external_descriptor_survives_specialization_and_synchronized_reset[l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_external_descriptor_reset.py::test_external_descriptor_survives_specialization_and_synchronized_reset[l1-f32],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_c1_0_6d5ebac3.cpp,pytest-report.xml,failure,1,python.test_external_descriptor_reset,test_external_descriptor_survives_specialization_and_synchronized_reset[l1-f32],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_external_dfb_reuse.py::test_external_protocol_state_reset_drains_compute_interfaces[dram-bf16],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_1892041e.cpp:68:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_external_dfb_reuse,test_external_protocol_state_reset_drains_compute_interfaces[dram-bf16],junit+exact-pytest-failure-block,pytest.log,113570,Exact parametrized heading and traceback source/function match JUnit
test/python/test_external_dfb_reuse.py::test_external_protocol_state_reset_drains_compute_interfaces[dram-f32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_write_1e9e338a.cpp:68:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.test_external_dfb_reuse,test_external_protocol_state_reset_drains_compute_interfaces[dram-f32],junit+exact-pytest-failure-block,pytest.log,114727,Exact parametrized heading and traceback source/function match JUnit
test/python/test_external_dfb_reuse.py::test_external_protocol_state_reset_drains_compute_interfaces[l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_03dfc233.cpp,pytest-report.xml,failure,1,python.test_external_dfb_reuse,test_external_protocol_state_reset_drains_compute_interfaces[l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_external_dfb_reuse.py::test_external_protocol_state_reset_drains_compute_interfaces[l1-f32],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_f2f52a63.cpp,pytest-report.xml,failure,1,python.test_external_dfb_reuse,test_external_protocol_state_reset_drains_compute_interfaces[l1-f32],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_external_dfb_reuse.py::test_external_protocol_state_reset_allows_group_reuse[dram-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_03dfc233.cpp,pytest-report.xml,failure,1,python.test_external_dfb_reuse,test_external_protocol_state_reset_allows_group_reuse[dram-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_external_dfb_reuse.py::test_external_protocol_state_reset_allows_group_reuse[dram-f32],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_f2f52a63.cpp,pytest-report.xml,failure,1,python.test_external_dfb_reuse,test_external_protocol_state_reset_allows_group_reuse[dram-f32],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_external_dfb_reuse.py::test_external_protocol_state_reset_allows_group_reuse[l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_03dfc233.cpp,pytest-report.xml,failure,1,python.test_external_dfb_reuse,test_external_protocol_state_reset_allows_group_reuse[l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_external_dfb_reuse.py::test_external_protocol_state_reset_allows_group_reuse[l1-f32],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_f2f52a63.cpp,pytest-report.xml,failure,1,python.test_external_dfb_reuse,test_external_protocol_state_reset_allows_group_reuse[l1-f32],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_rmsnorm.py::test_rmsnorm[dram-none-512],pytest,Missing rsqrt header,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_compute_8c31a10c.cpp:30:10: fatal error: 'ckernel_sfpu_rsqrt.h' file not found,pytest-report.xml,failure,1,python.test_rmsnorm,test_rmsnorm[dram-none-512],junit+exact-pytest-failure-block,pytest.log,120716,Exact parametrized heading and traceback source/function match JUnit
test/python/test_rmsnorm.py::test_rmsnorm[dram-none-1536],pytest,Missing rsqrt header,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_compute_86000aee.cpp:30:10: fatal error: 'ckernel_sfpu_rsqrt.h' file not found,pytest-report.xml,failure,1,python.test_rmsnorm,test_rmsnorm[dram-none-1536],junit+exact-pytest-failure-block,pytest.log,121213,Exact parametrized heading and traceback source/function match JUnit
test/python/test_rmsnorm.py::test_rmsnorm[dram-none-7168],pytest,Missing rsqrt header,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_compute_9b9b31b4.cpp:30:10: fatal error: 'ckernel_sfpu_rsqrt.h' file not found,pytest-report.xml,failure,1,python.test_rmsnorm,test_rmsnorm[dram-none-7168],junit+exact-pytest-failure-block,pytest.log,121737,Exact parametrized heading and traceback source/function match JUnit
test/python/test_rmsnorm.py::test_rmsnorm[dram-full-512],pytest,Missing rsqrt header,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_compute_ee0a2596.cpp:30:10: fatal error: 'ckernel_sfpu_rsqrt.h' file not found,pytest-report.xml,failure,1,python.test_rmsnorm,test_rmsnorm[dram-full-512],junit+exact-pytest-failure-block,pytest.log,122261,Exact parametrized heading and traceback source/function match JUnit
test/python/test_rmsnorm.py::test_rmsnorm[dram-full-1536],pytest,Missing rsqrt header,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_compute_4b587d60.cpp:30:10: fatal error: 'ckernel_sfpu_rsqrt.h' file not found,pytest-report.xml,failure,1,python.test_rmsnorm,test_rmsnorm[dram-full-1536],junit+exact-pytest-failure-block,pytest.log,122770,Exact parametrized heading and traceback source/function match JUnit
test/python/test_rmsnorm.py::test_rmsnorm[dram-full-7168],pytest,Missing rsqrt header,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_compute_d498d020.cpp:30:10: fatal error: 'ckernel_sfpu_rsqrt.h' file not found,pytest-report.xml,failure,1,python.test_rmsnorm,test_rmsnorm[dram-full-7168],junit+exact-pytest-failure-block,pytest.log,123316,Exact parametrized heading and traceback source/function match JUnit
test/python/test_rmsnorm.py::test_rmsnorm[l1-none-512],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_8c31a10c.cpp,pytest-report.xml,failure,1,python.test_rmsnorm,test_rmsnorm[l1-none-512],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_rmsnorm.py::test_rmsnorm[l1-none-1536],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_86000aee.cpp,pytest-report.xml,failure,1,python.test_rmsnorm,test_rmsnorm[l1-none-1536],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_rmsnorm.py::test_rmsnorm[l1-none-7168],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_9b9b31b4.cpp,pytest-report.xml,failure,1,python.test_rmsnorm,test_rmsnorm[l1-none-7168],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_rmsnorm.py::test_rmsnorm[l1-full-512],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_ee0a2596.cpp,pytest-report.xml,failure,1,python.test_rmsnorm,test_rmsnorm[l1-full-512],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_rmsnorm.py::test_rmsnorm[l1-full-1536],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_4b587d60.cpp,pytest-report.xml,failure,1,python.test_rmsnorm,test_rmsnorm[l1-full-1536],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_rmsnorm.py::test_rmsnorm[l1-full-7168],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_d498d020.cpp,pytest-report.xml,failure,1,python.test_rmsnorm,test_rmsnorm[l1-full-7168],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/test_rmsnorm.py::test_rmsnorm_kernel_config[dram-bf16-half],pytest,Missing rsqrt header,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_compute_8ff1faa5.cpp:30:10: fatal error: 'ckernel_sfpu_rsqrt.h' file not found,pytest-report.xml,failure,1,python.test_rmsnorm,test_rmsnorm_kernel_config[dram-bf16-half],junit+exact-pytest-failure-block,pytest.log,126930,Exact parametrized heading and traceback source/function match JUnit
